ST,STATE,OCC_TITLE,TOT_EMP,JOBS_1000,LOC_Q,H_MEAN,A_MEAN,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
TX,Texas,Computer and Information Research Scientists,"2,170",0.182,0.93,50.87,"105,800",11.19,34.38,50.81,66.90,80.97,"23,280","71,520","105,680","139,150","168,410",,
UT,Utah,Computer and Information Systems Managers,"4,990",3.539,1.38,56.82,"118,190",28.38,40.46,55.44,70.55,84.66,"59,030","84,150","115,310","146,740","176,080",,
UT,Utah,Computer and Mathematical Occupations,"48,640",34.483,1.15,38.77,"80,650",18.28,25.82,36.45,49.01,62.21,"38,020","53,700","75,810","101,950","129,390",,
UT,Utah,Computer and Information Research Scientists,710,0.501,2.56,46.37,"96,440",27.03,32.05,45.11,54.02,69.54,"56,230","66,660","93,830","112,370","144,640",,
VT,Vermont,Computer and Information Systems Managers,510,1.684,0.66,61.87,"128,700",33.34,42.09,55.43,74.97,96.07,"69,350","87,540","115,290","155,940","199,830",,
VT,Vermont,Computer and Mathematical Occupations,"7,280",23.863,0.80,35.25,"73,330",18.65,24.31,33.29,44.46,56.23,"38,790","50,570","69,250","92,480","116,970",,
VA,Virginia,Computer and Information Systems Managers,"13,460",3.551,1.38,81.57,"169,660",51.59,63.27,77.38,93.72,#,"107,310","131,590","160,950","194,930",#,,
VA,Virginia,Computer and Mathematical Occupations,"201,680",53.215,1.78,48.47,"100,830",25.17,33.95,46.82,61.52,75.77,"52,360","70,610","97,390","127,950","157,600",,
VA,Virginia,Computer and Information Research Scientists,"2,670",0.705,3.60,62.00,"128,950",40.92,50.75,59.25,73.94,84.72,"85,110","105,570","123,240","153,790","176,210",,
WA,Washington,Computer and Information Systems Managers,"12,590",3.950,1.54,74.42,"154,790",43.64,55.05,69.33,87.43,#,"90,770","114,500","144,200","181,860",#,,
WA,Washington,Computer and Mathematical Occupations,"157,400",49.395,1.65,51.45,"107,020",25.89,35.53,50.17,64.90,78.66,"53,850","73,910","104,360","134,990","163,620",,
WA,Washington,Computer and Information Research Scientists,"1,340",0.422,2.15,65.02,"135,240",34.09,49.01,61.08,77.70,96.49,"70,910","101,940","127,050","161,620","200,710",,
WV,West Virginia,Computer and Information Systems Managers,760,1.108,0.43,56.76,"118,060",32.34,42.91,56.33,69.84,78.91,"67,260","89,240","117,160","145,270","164,140",,
WV,West Virginia,Computer and Mathematical Occupations,"10,880",15.798,0.53,33.53,"69,750",16.38,22.06,30.39,42.25,54.52,"34,070","45,880","63,210","87,880","113,400",,
WI,Wisconsin,Computer and Information Systems Managers,"6,280",2.224,0.87,58.19,"121,040",38.29,45.49,55.36,66.21,79.89,"79,650","94,610","115,140","137,710","166,180",,
WI,Wisconsin,Computer and Mathematical Occupations,"76,080",26.929,0.90,35.82,"74,520",19.46,25.96,34.46,44.28,53.91,"40,480","54,000","71,680","92,100","112,130",,
WI,Wisconsin,Computer and Information Research Scientists,200,0.072,0.37,36.18,"75,260",25.37,27.93,33.13,42.63,51.11,"52,780","58,100","68,920","88,680","106,300",,
WY,Wyoming,Computer and Information Systems Managers,200,0.736,0.29,47.47,"98,750",32.62,36.14,44.38,53.75,71.60,"67,860","75,170","92,310","111,810","148,930",,
WY,Wyoming,Computer and Mathematical Occupations,"2,660",9.916,0.33,30.79,"64,030",17.55,22.24,29.03,36.91,46.16,"36,510","46,260","60,380","76,770","96,010",,
GU,Guam,Computer and Information Systems Managers,70,1.133,0.44,40.38,"84,000",21.04,27.51,36.08,46.88,63.38,"43,750","57,210","75,040","97,510","131,840",,
GU,Guam,Computer and Mathematical Occupations,580,9.468,0.32,24.71,"51,390",12.75,16.51,22.06,31.25,41.26,"26,510","34,340","45,890","65,000","85,830",,
PR,Puerto Rico,Computer and Information Systems Managers,"1,410",1.608,0.63,38.30,"79,670",18.92,25.23,32.86,47.84,63.29,"39,350","52,470","68,350","99,510","131,640",,
PR,Puerto Rico,Computer and Mathematical Occupations,"10,660",12.175,0.41,21.06,"43,800",9.57,13.21,18.75,26.73,36.19,"19,910","27,480","39,000","55,590","75,280",,
VI,Virgin Islands,Computer and Information Systems Managers,60,1.563,0.61,*,*,*,*,*,*,*,*,*,*,*,*,,
VI,Virgin Islands,Computer and Mathematical Occupations,350,9.403,0.31,26.93,"56,010",15.82,19.09,23.87,30.34,40.55,"32,900","39,700","49,650","63,120","84,350",,
